
        Aug 1, Aug 2, Aug 10, Aug 19, Aug 22
query 1 : 321, 322, 322, 318, 318
query 2 : 17.4, 15.6, 17.8 **, 15.0, 14.6
query 3 : 222, 187, 193, 186, 142
query 4 : 33.9, 35, 34.8, 35.4, 34.8
query 5 : 68.4, 68.8, 68.5, 68, 68.7
query 6 : 51.9, 51.1,  51.4, 52.6, 50.7
query 7 : 95.8, 60.6, 61.7, 61.6, 60.1
query 8 : 126, 125, 132 *, 97, 92.6
query 9 : 183, 182, 183 -, 183, 182
query 10 : 51.8, 52, 50.6, 52, 51.7
query 11 : 16, 13.2, 13.9 -, 14.0, 14.7
query 12 : 103, 104, 102, 103, 102
query 13 : 404, 405, 403, 444 **, 410
query 14 : 23.5, 23.1, 22.5, 23.2, 22.9
query 15 : 28, 25, 26.4, 25.8, 26.2
query 16 : 73.3, 70.4, 75.6 *, 71.6, 73.3
query 17 : 36.8, 35.2, 36.1 -, 35.2, 35
query 18 : 911, 423, 420, 425, 424
query 19 : 27.5, 26.9, 31.9 **, 27.2, 26.9
query 20 : 23.6, 24.2, 25, 26.7 **, 25
query 21 : 292, 289, 308, 270, 271
query 22 : 39.6, 39.9, 38.3, 39.5, 40
geo mean of all: 74.1, 68, 69.9, 69ish, 66.4
